sound_id,original_fname,sub_category,audioset_class
Human_395410,395410,Chuckle and chortle,Chuckle and chortle
Human_136480,136480,Crying and sobbing,Crying and sobbing
Human_139972,139972,Applause,Applause
Human_118486,118486,Laughter,Laughter
Human_330296,330296,Clapping,Clapping
Human_180762,180762,Clapping,Clapping
Human_231891,231891,Clapping,Clapping
Human_75056,75056,Applause,Applause
Human_399750,399750,Burping and eructation,Burping and eructation
Human_342669,342669,Cough,Cough
Human_204703,204703,Laughter,Laughter
Human_169806,169806,Laughter,Laughter
Human_381818,381818,Laughter,Laughter
Human_50778,50778,Breathing,Breathing
Human_218185,218185,Chuckle and chortle,Chuckle and chortle
Human_428990,428990,Laughter,Laughter
Human_22733,22733,Train,Train
Human_326883,326883,Yell,Yell
Human_252231,252231,Cough,Cough
Human_333408,333408,Crowd,Crowd
Human_109740,109740,Cheering,Cheering
Human_101154,101154,Burping and eructation,Burping and eructation
Human_67824,67824,Laughter,Laughter
Human_196072,196072,Laughter,Laughter
Human_340971,340971,Crowd,Crowd
Human_60803,60803,Crowd,Crowd
Human_274590,274590,Applause,Applause
Human_160137,160137,Clapping,Clapping
Human_338182,338182,Clapping,Clapping
Human_364451,364451,Run,Run
Human_346520,346520,Sigh,Sigh
Human_428775,428775,Sneeze,Sneeze
Human_175536,175536,Clapping,Clapping
Human_371625,371625,Clapping,Clapping
Human_19803,19803,Human voice,Human voice
Human_363586,363586,Gasp,Gasp
Human_152904,152904,Laughter,Laughter
Human_343976,343976,Crying and sobbing,Crying and sobbing
Human_87512,87512,Cough,Cough
Human_47134,47134,Cough,Cough
Human_346804,346804,Finger snapping,Finger snapping
Human_154428,154428,Crying and sobbing,Crying and sobbing
Human_132814,132814,Laughter,Laughter
Human_272440,272440,Chewing and mastication,Chewing and mastication
Human_58650,58650,Chuckle and chortle,Chuckle and chortle
Human_416703,416703,Giggle,Giggle
Human_239583,239583,Laughter,Laughter
Human_175048,175048,Clapping,Clapping
Human_246312,246312,Laughter,Laughter
Human_154681,154681,Chewing and mastication,Chewing and mastication
Human_219768,219768,Cough,Cough
Human_232861,232861,Applause,Applause
Human_193467,193467,Crowd,Crowd
Human_273109,273109,Run,Run
Human_217669,217669,Burping and eructation,Burping and eructation
Human_395408,395408,Chuckle and chortle,Chuckle and chortle
Human_142605,142605,Sneeze,Sneeze
Human_63805,63805,Walk and footsteps,Walk and footsteps
Human_19119,19119,Cough,Cough
Human_393010,393010,Crying and sobbing,Crying and sobbing
Human_273400,273400,Run,Run
Human_16580,16580,Cough,Cough
Human_76461,76461,Laughter,Laughter
Human_101159,101159,Burping and eructation,Burping and eructation
Human_323447,323447,Breathing,Breathing
Human_98935,98935,Laughter,Laughter
Human_101181,101181,Burping and eructation,Burping and eructation
Human_166048,166048,Laughter,Laughter
Human_35034,35034,Cheering,Cheering
Human_361710,361710,Clapping,Clapping
Human_253772,253772,Laughter,Laughter
Human_273407,273407,Run,Run
Human_19124,19124,Cough,Cough
Human_171118,171118,Crowd,Crowd
Human_138338,138338,Run,Run
Human_18276,18276,Crying and sobbing,Crying and sobbing
Human_371303,371303,Crying and sobbing,Crying and sobbing
Human_62870,62870,Laughter,Laughter
Human_176866,176866,Breathing,Breathing
Human_193911,193911,Breathing,Breathing
Human_253775,253775,Cough,Cough
Human_381357,381357,Applause,Applause
Human_238495,238495,Breathing,Breathing
Human_160139,160139,Clapping,Clapping
Human_399623,399623,Human voice,Human voice
Human_319019,319019,Crying and sobbing,Crying and sobbing
Human_364732,364732,Finger snapping,Finger snapping
Human_156844,156844,Sneeze,Sneeze
Human_242610,242610,Laughter,Laughter
Human_67103,67103,Applause,Applause
Human_240689,240689,Sigh,Sigh
Human_361753,361753,Finger snapping,Finger snapping
Human_169802,169802,Laughter,Laughter
Human_196168,196168,Laughter,Laughter
Human_9985,9985,Breathing,Breathing
Human_36346,36346,Breathing,Breathing
Human_272554,272554,Run,Run
Human_257919,257919,Breathing,Breathing
Human_399769,399769,Burping and eructation,Burping and eructation
Human_399463,399463,Cough,Cough
Human_235167,235167,Giggle,Giggle
Human_361745,361745,Finger snapping,Finger snapping
Human_367680,367680,Laughter,Laughter
Human_161849,161849,Rattle,Rattle
Human_241473,241473,Laughter,Laughter
Human_124024,124024,Laughter,Laughter
Human_31605,31605,Laughter,Laughter
Human_430341,430341,Sigh,Sigh
Human_377056,377056,Applause,Applause
Human_20738,20738,Applause,Applause
Human_28227,28227,Clapping,Clapping
Human_242239,242239,Chuckle and chortle,Chuckle and chortle
Human_334941,334941,Applause,Applause
Human_427722,427722,Sigh,Sigh
Human_235099,235099,Laughter,Laughter
Human_361730,361730,Clapping,Clapping
Human_198263,198263,Laughter,Laughter
Human_254281,254281,Burping and eructation,Burping and eructation
Human_31650,31650,Applause,Applause
Human_377054,377054,Applause,Applause
Human_101153,101153,Burping and eructation,Burping and eructation
Human_218306,218306,Cough,Cough
Human_277550,277550,Chuckle and chortle,Chuckle and chortle
Human_120755,120755,Laughter,Laughter
Human_192091,192091,Chewing and mastication,Chewing and mastication
Human_257916,257916,Finger snapping,Finger snapping
Human_399758,399758,Burping and eructation,Burping and eructation
