sound_id,game_zone,source_type,sub_category,audioset_class,all_labels,fname,file_path,source_dataset,original_fname,duration_sec,ambiguous
Animal_59517,Animal,Biological,Bird vocalization and bird call and bird song,Bird vocalization and bird call and bird song,"Bird vocalization and bird call and bird song, Bird, Wild animals, Animal",59517,Audio/Animal/59517,FSD50K,59517,,False
Animal_28110,Animal,Biological,Bird vocalization and bird call and bird song,Bird vocalization and bird call and bird song,"Bird vocalization and bird call and bird song, Bird, Wild animals, Animal",28110,Audio/Animal/28110,FSD50K,28110,,False
Animal_59293,Animal,Biological,Gull and seagull,Gull and seagull,"Gull and seagull, Bird, Wild animals, Animal",59293,Audio/Animal/59293,FSD50K,59293,,False
Animal_43778,Animal,Biological,Gull and seagull,Gull and seagull,"Gull and seagull, Waves and surf, Bird, Wild animals, Animal, Ocean, Water",43778,Audio/Animal/43778,FSD50K,43778,,False
Animal_54523,Animal,Biological,Gull and seagull,Gull and seagull,"Gull and seagull, Bird, Wild animals, Animal",54523,Audio/Animal/54523,FSD50K,54523,,False
Animal_155322,Animal,Biological,Dog,Dog,"Dog, Domestic animals and pets, Animal",155322,Audio/Animal/155322,FSD50K,155322,,False
Animal_31578,Animal,Biological,Chirp and tweet,Chirp and tweet,"Chirp and tweet, Bird vocalization and bird call and bird song, Bird, Wild animals, Animal",31578,Audio/Animal/31578,FSD50K,31578,,False
Animal_174203,Animal,Biological,Hiss,Hiss,Hiss,174203,Audio/Animal/174203,FSD50K,174203,,False
Animal_361428,Animal,Biological,Bird vocalization and bird call and bird song,Bird vocalization and bird call and bird song,"Bird vocalization and bird call and bird song, Bird, Wild animals, Animal",361428,Audio/Animal/361428,FSD50K,361428,,False
Animal_235881,Animal,Biological,Dog,Dog,"Dog, Domestic animals and pets, Animal",235881,Audio/Animal/235881,FSD50K,235881,,False
Animal_13738,Animal,Biological,Bird vocalization and bird call and bird song,Bird vocalization and bird call and bird song,"Bird vocalization and bird call and bird song, Bird, Wild animals, Animal",13738,Audio/Animal/13738,FSD50K,13738,,False
Animal_18663,Animal,Biological,Bird,Bird,"Bird, Rain, Wild animals, Animal, Water",18663,Audio/Animal/18663,FSD50K,18663,,False
Animal_181481,Animal,Biological,Hiss,Hiss,Hiss,181481,Audio/Animal/181481,FSD50K,181481,,False
Animal_56761,Animal,Biological,Frog,Frog,"Frog, Wild animals, Animal",56761,Audio/Animal/56761,FSD50K,56761,,False
Animal_144017,Animal,Biological,Buzz,Buzz,"Buzz, Insect, Wild animals, Animal",144017,Audio/Animal/144017,FSD50K,144017,,False
Animal_47604,Animal,Biological,Chirp and tweet,Chirp and tweet,"Chirp and tweet, Bird vocalization and bird call and bird song, Bird, Wild animals, Animal",47604,Audio/Animal/47604,FSD50K,47604,,False
Animal_60759,Animal,Biological,Cricket,Cricket,"Cricket, Human voice, Insect, Wild animals, Animal",60759,Audio/Animal/60759,FSD50K,60759,,False
Animal_49982,Animal,Biological,Bird vocalization and bird call and bird song,Bird vocalization and bird call and bird song,"Bird vocalization and bird call and bird song, Bird, Wild animals, Animal",49982,Audio/Animal/49982,FSD50K,49982,,False
Animal_161084,Animal,Biological,Bird,Bird,"Bird, Wild animals, Animal",161084,Audio/Animal/161084,FSD50K,161084,,False
Animal_405483,Animal,Biological,Bird,Bird,"Bird, Wild animals, Animal",405483,Audio/Animal/405483,FSD50K,405483,,False
Animal_152817,Animal,Biological,Dog,Dog,"Dog, Breathing, Domestic animals and pets, Animal, Respiratory sounds",152817,Audio/Animal/152817,FSD50K,152817,,False
Animal_50614,Animal,Biological,Bark,Bark,"Bark, Dog, Domestic animals and pets, Animal",50614,Audio/Animal/50614,FSD50K,50614,,False
Animal_52413,Animal,Biological,Frog,Frog,"Frog, Wild animals, Animal",52413,Audio/Animal/52413,FSD50K,52413,,False
Animal_321570,Animal,Biological,Bird,Bird,"Bird, Wild animals, Animal",321570,Audio/Animal/321570,FSD50K,321570,,False
Animal_236044,Animal,Biological,Bark,Bark,"Bark, Dog, Domestic animals and pets, Animal",236044,Audio/Animal/236044,FSD50K,236044,,False
Animal_181767,Animal,Biological,Dog,Dog,"Dog, Domestic animals and pets, Animal",181767,Audio/Animal/181767,FSD50K,181767,,False
Animal_266592,Animal,Biological,Buzz,Buzz,"Buzz, Insect, Wild animals, Animal",266592,Audio/Animal/266592,FSD50K,266592,,False
Animal_63261,Animal,Biological,Bark,Bark,"Bark, Dog, Domestic animals and pets, Animal",63261,Audio/Animal/63261,FSD50K,63261,,False
Animal_316915,Animal,Biological,Hiss,Hiss,"Hiss, Cat, Domestic animals and pets, Animal",316915,Audio/Animal/316915,FSD50K,316915,,False
Animal_431746,Animal,Biological,Bird vocalization and bird call and bird song,Bird vocalization and bird call and bird song,"Bird vocalization and bird call and bird song, Bird, Wild animals, Animal",431746,Audio/Animal/431746,FSD50K,431746,,False
Animal_130034,Animal,Biological,Meow,Meow,"Meow, Cat, Domestic animals and pets, Animal",130034,Audio/Animal/130034,FSD50K,130034,,False
Animal_408747,Animal,Biological,Purr,Purr,"Purr, Cat, Domestic animals and pets, Animal",408747,Audio/Animal/408747,FSD50K,408747,,False
Animal_159426,Animal,Biological,Crow,Crow,"Crow, Bird, Wild animals, Animal",159426,Audio/Animal/159426,FSD50K,159426,,False
Animal_17506,Animal,Biological,Bird,Bird,"Bird, Wild animals, Animal",17506,Audio/Animal/17506,FSD50K,17506,,False
Animal_60938,Animal,Biological,Gull and seagull,Gull and seagull,"Gull and seagull, Bird, Wild animals, Animal",60938,Audio/Animal/60938,FSD50K,60938,,False
Animal_119641,Animal,Biological,Insect,Insect,"Insect, Wild animals, Animal",119641,Audio/Animal/119641,FSD50K,119641,,False
Animal_164476,Animal,Biological,Bird,Bird,"Bird, Wild animals, Animal",164476,Audio/Animal/164476,FSD50K,164476,,False
Animal_266352,Animal,Biological,Bird,Bird,"Bird, Wild animals, Animal",266352,Audio/Animal/266352,FSD50K,266352,,False
Animal_212812,Animal,Biological,Frog,Frog,"Frog, Wild animals, Animal",212812,Audio/Animal/212812,FSD50K,212812,,False
Animal_7907,Animal,Biological,Bird,Bird,"Bird, Wild animals, Animal",7907,Audio/Animal/7907,FSD50K,7907,,False
Animal_195986,Animal,Biological,Cricket,Cricket,"Cricket, Insect, Wild animals, Animal",195986,Audio/Animal/195986,FSD50K,195986,,False
Animal_9328,Animal,Biological,Chirp and tweet,Chirp and tweet,"Chirp and tweet, Bird vocalization and bird call and bird song, Bird, Wild animals, Animal",9328,Audio/Animal/9328,FSD50K,9328,,False
Animal_46256,Animal,Biological,Meow,Meow,"Meow, Cat, Domestic animals and pets, Animal",46256,Audio/Animal/46256,FSD50K,46256,,False
Animal_78324,Animal,Biological,Growling,Growling,"Growling, Dog, Domestic animals and pets, Animal",78324,Audio/Animal/78324,FSD50K,78324,,False
Animal_34325,Animal,Biological,Bird,Bird,"Bird, Wild animals, Animal",34325,Audio/Animal/34325,FSD50K,34325,,False
Animal_245024,Animal,Biological,Dog,Dog,"Dog, Domestic animals and pets, Animal",245024,Audio/Animal/245024,FSD50K,245024,,False
Animal_236200,Animal,Biological,Bark,Bark,"Bark, Dog, Domestic animals and pets, Animal",236200,Audio/Animal/236200,FSD50K,236200,,False
Animal_236268,Animal,Biological,Bark,Bark,"Bark, Animal, Dog, Domestic animals and pets",236268,Audio/Animal/236268,FSD50K,236268,,False
Animal_391273,Animal,Biological,Dog,Dog,"Dog, Domestic animals and pets, Animal",391273,Audio/Animal/391273,FSD50K,391273,,False
Animal_121888,Animal,Biological,Bark,Bark,"Bark, Growling, Dog, Domestic animals and pets, Animal",121888,Audio/Animal/121888,FSD50K,121888,,False
Animal_346318,Animal,Biological,Crow,Crow,"Crow, Bird, Wild animals, Animal",346318,Audio/Animal/346318,FSD50K,346318,,False
Animal_263483,Animal,Biological,Crow,Crow,"Crow, Bird, Wild animals, Animal",263483,Audio/Animal/263483,FSD50K,263483,,False
Animal_342347,Animal,Biological,Bird,Bird,"Bird, Wild animals, Animal",342347,Audio/Animal/342347,FSD50K,342347,,False
Animal_174886,Animal,Biological,Gull and seagull,Gull and seagull,"Gull and seagull, Crow, Bird, Wild animals, Animal",174886,Audio/Animal/174886,FSD50K,174886,,False
Animal_90208,Animal,Biological,Bird vocalization and bird call and bird song,Bird vocalization and bird call and bird song,"Bird vocalization and bird call and bird song, Bird, Wild animals, Animal",90208,Audio/Animal/90208,FSD50K,90208,,False
Animal_114435,Animal,Biological,Bird,Bird,"Bird, Wild animals, Animal",114435,Audio/Animal/114435,FSD50K,114435,,False
Animal_62048,Animal,Biological,Bark,Bark,"Bark, Dog, Domestic animals and pets, Animal",62048,Audio/Animal/62048,FSD50K,62048,,False
Animal_24020,Animal,Biological,Cat,Cat,"Cat, Domestic animals and pets, Animal",24020,Audio/Animal/24020,FSD50K,24020,,False
Animal_333449,Animal,Biological,Hiss,Hiss,Hiss,333449,Audio/Animal/333449,FSD50K,333449,,False
Animal_58337,Animal,Biological,Cricket,Cricket,"Cricket, Insect, Wild animals, Animal",58337,Audio/Animal/58337,FSD50K,58337,,False
Animal_101799,Animal,Biological,Hiss,Hiss,Hiss,101799,Audio/Animal/101799,FSD50K,101799,,False
Animal_266424,Animal,Biological,Bird,Bird,"Bird, Wild animals, Animal",266424,Audio/Animal/266424,FSD50K,266424,,False
Animal_236258,Animal,Biological,Dog,Dog,"Dog, Domestic animals and pets, Animal",236258,Audio/Animal/236258,FSD50K,236258,,False
Animal_430508,Animal,Biological,Meow,Meow,"Meow, Cat, Domestic animals and pets, Animal",430508,Audio/Animal/430508,FSD50K,430508,,False
Animal_341899,Animal,Biological,Bird,Bird,"Bird, Wild animals, Animal",341899,Audio/Animal/341899,FSD50K,341899,,False
Animal_50620,Animal,Biological,Hiss,Hiss,Hiss,50620,Audio/Animal/50620,FSD50K,50620,,False
Animal_22340,Animal,Biological,Cricket,Cricket,"Cricket, Insect, Wild animals, Animal",22340,Audio/Animal/22340,FSD50K,22340,,False
Animal_233781,Animal,Biological,Insect,Insect,"Insect, Wild animals, Animal",233781,Audio/Animal/233781,FSD50K,233781,,False
Animal_353216,Animal,Biological,Bird vocalization and bird call and bird song,Bird vocalization and bird call and bird song,"Bird vocalization and bird call and bird song, Bird, Wild animals, Animal",353216,Audio/Animal/353216,FSD50K,353216,,False
Animal_100047,Animal,Biological,Bird,Bird,"Bird, Wild animals, Animal",100047,Audio/Animal/100047,FSD50K,100047,,False
Animal_386865,Animal,Biological,Chirp and tweet,Chirp and tweet,"Chirp and tweet, Bird vocalization and bird call and bird song, Bird, Wild animals, Animal",386865,Audio/Animal/386865,FSD50K,386865,,False
Animal_268958,Animal,Biological,Frog,Frog,"Frog, Wild animals, Animal",268958,Audio/Animal/268958,FSD50K,268958,,False
Animal_9326,Animal,Biological,Chirp and tweet,Chirp and tweet,"Chirp and tweet, Bird vocalization and bird call and bird song, Bird, Wild animals, Animal",9326,Audio/Animal/9326,FSD50K,9326,,False
Animal_251674,Animal,Biological,Bird,Bird,"Bird, Wild animals, Animal",251674,Audio/Animal/251674,FSD50K,251674,,False
Animal_192047,Animal,Biological,Meow,Meow,"Meow, Cat, Domestic animals and pets, Animal",192047,Audio/Animal/192047,FSD50K,192047,,False
Animal_216202,Animal,Biological,Bird vocalization and bird call and bird song,Bird vocalization and bird call and bird song,"Bird vocalization and bird call and bird song, Bird, Wild animals, Animal",216202,Audio/Animal/216202,FSD50K,216202,,False
Animal_18825,Animal,Biological,Buzz,Buzz,"Buzz, Insect, Wild animals, Animal",18825,Audio/Animal/18825,FSD50K,18825,,False
Animal_321870,Animal,Biological,Buzz,Buzz,"Buzz, Insect, Wild animals, Animal",321870,Audio/Animal/321870,FSD50K,321870,,False
Animal_131475,Animal,Biological,Gull and seagull,Gull and seagull,"Gull and seagull, Bird, Wild animals, Animal",131475,Audio/Animal/131475,FSD50K,131475,,False
Animal_390558,Animal,Biological,Bird,Bird,"Bird, Wild animals, Animal",390558,Audio/Animal/390558,FSD50K,390558,,False
Animal_341041,Animal,Biological,Dog,Dog,"Dog, Domestic animals and pets, Animal",341041,Audio/Animal/341041,FSD50K,341041,,False
Animal_156643,Animal,Biological,Meow,Meow,"Meow, Cat, Domestic animals and pets, Animal",156643,Audio/Animal/156643,FSD50K,156643,,False
Animal_255588,Animal,Biological,Purr,Purr,"Purr, Cat, Domestic animals and pets, Animal",255588,Audio/Animal/255588,FSD50K,255588,,False
Animal_361449,Animal,Biological,Buzz,Buzz,"Buzz, Insect, Wild animals, Animal",361449,Audio/Animal/361449,FSD50K,361449,,False
Animal_192766,Animal,Biological,Gull and seagull,Gull and seagull,"Gull and seagull, Bird, Wild animals, Animal",192766,Audio/Animal/192766,FSD50K,192766,,False
Animal_100455,Animal,Biological,Chirp and tweet,Chirp and tweet,"Chirp and tweet, Bird vocalization and bird call and bird song, Bird, Wild animals, Animal",100455,Audio/Animal/100455,FSD50K,100455,,False
Animal_220988,Animal,Biological,Cricket,Cricket,"Cricket, Insect, Wild animals, Animal",220988,Audio/Animal/220988,FSD50K,220988,,False
Animal_181486,Animal,Biological,Hiss,Hiss,Hiss,181486,Audio/Animal/181486,FSD50K,181486,,False
Animal_348247,Animal,Biological,Bark,Bark,"Bark, Dog, Domestic animals and pets, Animal",348247,Audio/Animal/348247,FSD50K,348247,,False
Animal_236281,Animal,Biological,Bark,Bark,"Bark, Dog, Domestic animals and pets, Animal",236281,Audio/Animal/236281,FSD50K,236281,,False
Animal_10380,Animal,Biological,Growling,Growling,"Growling, Animal",10380,Audio/Animal/10380,FSD50K,10380,,False
Animal_253672,Animal,Biological,Bird,Bird,"Bird, Wild animals, Animal",253672,Audio/Animal/253672,FSD50K,253672,,False
Animal_236055,Animal,Biological,Bark,Bark,"Bark, Dog, Domestic animals and pets, Animal",236055,Audio/Animal/236055,FSD50K,236055,,False
Animal_236117,Animal,Biological,Bark,Bark,"Bark, Dog, Domestic animals and pets, Animal",236117,Audio/Animal/236117,FSD50K,236117,,False
Animal_269121,Animal,Biological,Dog,Dog,"Dog, Domestic animals and pets, Animal",269121,Audio/Animal/269121,FSD50K,269121,,False
Animal_55152,Animal,Biological,Meow,Meow,"Meow, Cat, Domestic animals and pets, Animal",55152,Audio/Animal/55152,FSD50K,55152,,False
Animal_99956,Animal,Biological,Buzz,Buzz,"Buzz, Insect, Wild animals, Animal",99956,Audio/Animal/99956,FSD50K,99956,,False
Animal_83834,Animal,Biological,Meow,Meow,"Meow, Cat, Domestic animals and pets, Animal",83834,Audio/Animal/83834,FSD50K,83834,,False
Animal_204522,Animal,Biological,Bird vocalization and bird call and bird song,Bird vocalization and bird call and bird song,"Bird vocalization and bird call and bird song, Bird, Wild animals, Animal",204522,Audio/Animal/204522,FSD50K,204522,,False
Animal_20472,Animal,Biological,Bird vocalization and bird call and bird song,Bird vocalization and bird call and bird song,"Bird vocalization and bird call and bird song, Bird, Wild animals, Animal",20472,Audio/Animal/20472,FSD50K,20472,,False
Animal_216216,Animal,Biological,Cricket,Cricket,"Cricket, Insect, Wild animals, Animal",216216,Audio/Animal/216216,FSD50K,216216,,False
Animal_127111,Animal,Biological,Dog,Dog,"Dog, Domestic animals and pets, Animal",127111,Audio/Animal/127111,FSD50K,127111,,False
Animal_64004,Animal,Biological,Purr,Purr,"Purr, Cat, Domestic animals and pets, Animal",64004,Audio/Animal/64004,FSD50K,64004,,False
Animal_414710,Animal,Biological,Bird,Bird,"Bird, Wild animals, Animal",414710,Audio/Animal/414710,FSD50K,414710,,False
Animal_389609,Animal,Biological,Crow,Crow,"Crow, Bird, Wild animals, Animal",389609,Audio/Animal/389609,FSD50K,389609,,False
Animal_389254,Animal,Biological,Bark,Bark,"Bark, Dog, Domestic animals and pets, Animal",389254,Audio/Animal/389254,FSD50K,389254,,False
Animal_194774,Animal,Biological,Frog,Frog,"Frog, Wild animals, Animal",194774,Audio/Animal/194774,FSD50K,194774,,False
Animal_111018,Animal,Biological,Bird,Bird,"Bird, Wild animals, Animal",111018,Audio/Animal/111018,FSD50K,111018,,False
Animal_54063,Animal,Biological,Purr,Purr,"Purr, Cat, Domestic animals and pets, Animal",54063,Audio/Animal/54063,FSD50K,54063,,False
Animal_235824,Animal,Biological,Hiss,Hiss,Hiss,235824,Audio/Animal/235824,FSD50K,235824,,False
Animal_372527,Animal,Biological,Bark,Bark,"Bark, Dog, Domestic animals and pets, Animal",372527,Audio/Animal/372527,FSD50K,372527,,False
Animal_18232,Animal,Biological,Bird,Bird,"Bird, Wild animals, Animal",18232,Audio/Animal/18232,FSD50K,18232,,False
Animal_275697,Animal,Biological,Purr,Purr,"Purr, Cat, Domestic animals and pets, Animal",275697,Audio/Animal/275697,FSD50K,275697,,False
Animal_236047,Animal,Biological,Bark,Bark,"Bark, Dog, Domestic animals and pets, Animal",236047,Audio/Animal/236047,FSD50K,236047,,False
Animal_174902,Animal,Biological,Gull and seagull,Gull and seagull,"Gull and seagull, Bird, Wild animals, Animal",174902,Audio/Animal/174902,FSD50K,174902,,False
Animal_128705,Animal,Biological,Crow,Crow,"Crow, Bird, Wild animals, Animal",128705,Audio/Animal/128705,FSD50K,128705,,False
Animal_330963,Animal,Biological,Bird,Bird,"Bird, Wild animals, Animal",330963,Audio/Animal/330963,FSD50K,330963,,False
Animal_104671,Animal,Biological,Bird vocalization and bird call and bird song,Bird vocalization and bird call and bird song,"Bird vocalization and bird call and bird song, Bird, Wild animals, Animal",104671,Audio/Animal/104671,FSD50K,104671,,False
Animal_236187,Animal,Biological,Dog,Dog,"Dog, Domestic animals and pets, Animal",236187,Audio/Animal/236187,FSD50K,236187,,False
Animal_406814,Animal,Biological,Dog,Dog,"Dog, Domestic animals and pets, Animal",406814,Audio/Animal/406814,FSD50K,406814,,False
Animal_236159,Animal,Biological,Bark,Bark,"Bark, Dog, Domestic animals and pets, Animal",236159,Audio/Animal/236159,FSD50K,236159,,False
Animal_404533,Animal,Biological,Hiss,Hiss,Hiss,404533,Audio/Animal/404533,FSD50K,404533,,False
Animal_111008,Animal,Biological,Bird,Bird,"Bird, Wild animals, Animal",111008,Audio/Animal/111008,FSD50K,111008,,False
Animal_379251,Animal,Biological,Bird,Bird,"Bird, Wild animals, Animal",379251,Audio/Animal/379251,FSD50K,379251,,False
Animal_85163,Animal,Biological,Purr,Purr,"Purr, Cat, Domestic animals and pets, Animal",85163,Audio/Animal/85163,FSD50K,85163,,False
Animal_184880,Animal,Biological,Bark,Bark,"Bark, Walk and footsteps, Dog, Domestic animals and pets, Animal",184880,Audio/Animal/184880,FSD50K,184880,,False
Animal_75704,Animal,Biological,Door,Door,"Door, Dog, Domestic sounds and home sounds, Domestic animals and pets, Animal",75704,Audio/Animal/75704,FSD50K,75704,,False
Animal_268678,Animal,Biological,Bird,Bird,"Bird, Wild animals, Animal",268678,Audio/Animal/268678,FSD50K,268678,,False
Animal_74942,Animal,Biological,Insect,Insect,"Insect, Wild animals, Animal",74942,Audio/Animal/74942,FSD50K,74942,,False
Animal_174905,Animal,Biological,Gull and seagull,Gull and seagull,"Gull and seagull, Bird, Wild animals, Animal",174905,Audio/Animal/174905,FSD50K,174905,,False
Animal_51094,Animal,Biological,Chirp and tweet,Chirp and tweet,"Chirp and tweet, Bird, Wild animals, Animal, Bird vocalization and bird call and bird song",51094,Audio/Animal/51094,FSD50K,51094,,False
Animal_103047,Animal,Biological,Insect,Insect,"Insect, Wild animals, Animal",103047,Audio/Animal/103047,FSD50K,103047,,False
Animal_58498,Animal,Biological,Insect,Insect,"Insect, Wild animals, Animal",58498,Audio/Animal/58498,FSD50K,58498,,False
Animal_411837,Animal,Biological,Bird,Bird,"Bird, Fowl, Wild animals, Animal, Livestock and farm animals and working animals",411837,Audio/Animal/411837,FSD50K,411837,,False
Animal_410519,Animal,Biological,Bird,Bird,"Bird, Wild animals, Animal",410519,Audio/Animal/410519,FSD50K,410519,,False
Animal_342250,Animal,Biological,Bark,Bark,"Bark, Dog, Domestic animals and pets, Animal",342250,Audio/Animal/342250,FSD50K,342250,,False
Animal_236249,Animal,Biological,Bark,Bark,"Bark, Dog, Domestic animals and pets, Animal",236249,Audio/Animal/236249,FSD50K,236249,,False
Animal_96950,Animal,Biological,Crow,Crow,"Crow, Bird, Wild animals, Animal",96950,Audio/Animal/96950,FSD50K,96950,,False
Animal_155299,Animal,Biological,Motorcycle,Motorcycle,"Motorcycle, Dog, Domestic animals and pets, Animal, Motor vehicle (road), Vehicle",155299,Audio/Animal/155299,FSD50K,155299,,False
Animal_20570,Animal,Biological,Insect,Insect,"Insect, Wild animals, Animal",20570,Audio/Animal/20570,FSD50K,20570,,False
Animal_222039,Animal,Biological,Crow,Crow,"Crow, Bird, Wild animals, Animal",222039,Audio/Animal/222039,FSD50K,222039,,False
Animal_216204,Animal,Biological,Bird vocalization and bird call and bird song,Bird vocalization and bird call and bird song,"Bird vocalization and bird call and bird song, Bird, Wild animals, Animal",216204,Audio/Animal/216204,FSD50K,216204,,False
Animal_201725,Animal,Biological,Chirp and tweet,Chirp and tweet,"Chirp and tweet, Bird vocalization and bird call and bird song, Bird, Wild animals, Animal",201725,Audio/Animal/201725,FSD50K,201725,,False
Animal_277360,Animal,Biological,Hiss,Hiss,Hiss,277360,Audio/Animal/277360,FSD50K,277360,,False
Animal_371880,Animal,Biological,Cricket,Cricket,"Cricket, Insect, Chicken and rooster, Wild animals, Animal, Fowl, Livestock and farm animals and working animals",371880,Audio/Animal/371880,FSD50K,371880,,False
Animal_216203,Animal,Biological,Bird vocalization and bird call and bird song,Bird vocalization and bird call and bird song,"Bird vocalization and bird call and bird song, Bird, Wild animals, Animal",216203,Audio/Animal/216203,FSD50K,216203,,False
Animal_70954,Animal,Biological,Bird,Bird,"Bird, Train, Wild animals, Animal, Rail transport, Vehicle",70954,Audio/Animal/70954,FSD50K,70954,,False
Animal_405462,Animal,Biological,Bird,Bird,"Bird, Wild animals, Animal",405462,Audio/Animal/405462,FSD50K,405462,,False
Animal_37305,Animal,Biological,Purr,Purr,"Purr, Cat, Domestic animals and pets, Animal",37305,Audio/Animal/37305,FSD50K,37305,,False
Animal_155294,Animal,Biological,Dog,Dog,"Dog, Domestic animals and pets, Animal",155294,Audio/Animal/155294,FSD50K,155294,,False
Animal_168866,Animal,Biological,Bird,Bird,"Bird, Wild animals, Animal",168866,Audio/Animal/168866,FSD50K,168866,,False
Animal_56551,Animal,Biological,Bird vocalization and bird call and bird song,Bird vocalization and bird call and bird song,"Bird vocalization and bird call and bird song, Bird, Wild animals, Animal",56551,Audio/Animal/56551,FSD50K,56551,,False
Animal_397061,Animal,Biological,Bird vocalization and bird call and bird song,Bird vocalization and bird call and bird song,"Bird vocalization and bird call and bird song, Bird, Wild animals, Animal",397061,Audio/Animal/397061,FSD50K,397061,,False
Animal_129355,Animal,Biological,Bird,Bird,"Bird, Wild animals, Animal",129355,Audio/Animal/129355,FSD50K,129355,,False
Animal_241995,Animal,Biological,Insect,Insect,"Insect, Wild animals, Animal",241995,Audio/Animal/241995,FSD50K,241995,,False
Animal_236066,Animal,Biological,Bark,Bark,"Bark, Dog, Domestic animals and pets, Animal",236066,Audio/Animal/236066,FSD50K,236066,,False
Animal_236274,Animal,Biological,Bark,Bark,"Bark, Dog, Domestic animals and pets, Animal",236274,Audio/Animal/236274,FSD50K,236274,,False
Animal_352789,Animal,Biological,Cricket,Cricket,"Cricket, Insect, Wild animals, Animal",352789,Audio/Animal/352789,FSD50K,352789,,False
Animal_24018,Animal,Biological,Cat,Cat,"Cat, Domestic animals and pets, Animal",24018,Audio/Animal/24018,FSD50K,24018,,False
Animal_164913,Animal,Biological,Bird,Bird,"Bird, Wild animals, Animal",164913,Audio/Animal/164913,FSD50K,164913,,False
Animal_413544,Animal,Biological,Bark,Bark,"Bark, Dog, Domestic animals and pets, Animal",413544,Audio/Animal/413544,FSD50K,413544,,False
Animal_158630,Animal,Biological,Chirp and tweet,Chirp and tweet,"Chirp and tweet, Bird vocalization and bird call and bird song, Bird, Wild animals, Animal",158630,Audio/Animal/158630,FSD50K,158630,,False
Animal_236203,Animal,Biological,Bark,Bark,"Bark, Dog, Domestic animals and pets, Animal",236203,Audio/Animal/236203,FSD50K,236203,,False
Animal_34872,Animal,Biological,Bark,Bark,"Bark, Dog, Domestic animals and pets, Animal",34872,Audio/Animal/34872,FSD50K,34872,,False
Animal_95697,Animal,Biological,Meow,Meow,"Meow, Cat, Domestic animals and pets, Animal",95697,Audio/Animal/95697,FSD50K,95697,,False
Animal_236232,Animal,Biological,Bark,Bark,"Bark, Dog, Domestic animals and pets, Animal",236232,Audio/Animal/236232,FSD50K,236232,,False
Animal_105236,Animal,Biological,Buzz,Buzz,"Buzz, Insect, Wild animals, Animal",105236,Audio/Animal/105236,FSD50K,105236,,False
Animal_236244,Animal,Biological,Bark,Bark,"Bark, Dog, Domestic animals and pets, Animal",236244,Audio/Animal/236244,FSD50K,236244,,False
Animal_33256,Animal,Biological,Wind,Wind,"Wind, Bird vocalization and bird call and bird song, Bird, Wild animals, Animal",33256,Audio/Animal/33256,FSD50K,33256,,False
