sound_id,original_fname,sub_category,audioset_class
Urban_69552,69552,Alarm,Alarm
Urban_216816,216816,Drill,Drill
Urban_273466,273466,Squeak,Squeak
Urban_93020,93020,Alarm,Alarm
Urban_87393,87393,Siren,Siren
Urban_83488,83488,Vehicle horn and car horn and honking,Vehicle horn and car horn and honking
Urban_386263,386263,Drill,Drill
Urban_113217,113217,Engine,Engine
Urban_180672,180672,Motorcycle,Motorcycle
Urban_101328,101328,Motorcycle,Motorcycle
Urban_152657,152657,Accelerating and revving and vroom,Accelerating and revving and vroom
Urban_254714,254714,Engine,Engine
Urban_71738,71738,Car,Car
Urban_267903,267903,Bicycle,Bicycle
Urban_216126,216126,Typing,Typing
Urban_361404,361404,Motorcycle,Motorcycle
Urban_370277,370277,Idling,Idling
Urban_339518,339518,Telephone,Telephone
Urban_46918,46918,Engine starting,Engine starting
Urban_379377,379377,Bus,Bus
Urban_39514,39514,Alarm,Alarm
Urban_56671,56671,Alarm,Alarm
Urban_44086,44086,Race car and auto racing,Race car and auto racing
Urban_392742,392742,Alarm,Alarm
Urban_36920,36920,Squeak,Squeak
Urban_271069,271069,Printer,Printer
Urban_138407,138407,Typing,Typing
Urban_332000,332000,Computer keyboard,Computer keyboard
Urban_399449,399449,Squeak,Squeak
Urban_51126,51126,Typing,Typing
Urban_345557,345557,Engine,Engine
Urban_151594,151594,Squeak,Squeak
Urban_353265,353265,Motor vehicle (road),Motor vehicle (road)
Urban_102449,102449,Race car and auto racing,Race car and auto racing
Urban_423606,423606,Engine starting,Engine starting
Urban_404100,404100,Bicycle bell,Bicycle bell
Urban_20839,20839,Accelerating and revving and vroom,Accelerating and revving and vroom
Urban_377469,377469,Computer keyboard,Computer keyboard
Urban_342664,342664,Alarm,Alarm
Urban_151591,151591,Squeak,Squeak
Urban_425529,425529,Car passing by,Car passing by
Urban_68954,68954,Squeak,Squeak
Urban_18773,18773,Accelerating and revving and vroom,Accelerating and revving and vroom
Urban_255193,255193,Alarm,Alarm
Urban_125093,125093,Squeak,Squeak
Urban_391215,391215,Telephone,Telephone
Urban_125090,125090,Squeak,Squeak
Urban_79639,79639,Telephone,Telephone
Urban_162836,162836,Bus,Bus
Urban_9218,9218,Bicycle bell,Bicycle bell
Urban_92741,92741,Engine,Engine
Urban_264156,264156,Squeak,Squeak
Urban_165420,165420,Bus,Bus
Urban_270291,270291,Traffic noise and roadway noise,Traffic noise and roadway noise
Urban_335248,335248,Alarm,Alarm
Urban_412772,412772,Bicycle,Bicycle
Urban_399677,399677,Squeak,Squeak
Urban_233464,233464,Car passing by,Car passing by
Urban_242741,242741,Engine,Engine
Urban_431841,431841,Vehicle horn and car horn and honking,Vehicle horn and car horn and honking
Urban_250048,250048,Telephone,Telephone
Urban_152661,152661,Accelerating and revving and vroom,Accelerating and revving and vroom
Urban_203720,203720,Motor vehicle (road),Motor vehicle (road)
Urban_29558,29558,Traffic noise and roadway noise,Traffic noise and roadway noise
Urban_259582,259582,Rattle,Rattle
Urban_377521,377521,Drill,Drill
Urban_322475,322475,Drill,Drill
Urban_353178,353178,Traffic noise and roadway noise,Traffic noise and roadway noise
Urban_62589,62589,Bus,Bus
Urban_212397,212397,Drill,Drill
Urban_50415,50415,Drill,Drill
Urban_250008,250008,Car,Car
Urban_165396,165396,Bus,Bus
Urban_324579,324579,Siren,Siren
Urban_369049,369049,Idling,Idling
Urban_134791,134791,Squeak,Squeak
Urban_410851,410851,Alarm,Alarm
