sound_id,original_fname,sub_category,audioset_class
Nature_99085,99085,Thunder,Thunder
Nature_166951,166951,Drip,Drip
Nature_423893,423893,Crackle,Crackle
Nature_260844,260844,Drip,Drip
Nature_420310,420310,Wind,Wind
Nature_249872,249872,Rain,Rain
Nature_336418,336418,Raindrop,Raindrop
Nature_328172,328172,Water,Water
Nature_199946,199946,Thunder,Thunder
Nature_233136,233136,Water,Water
Nature_190667,190667,Waves and surf,Waves and surf
Nature_16751,16751,Raindrop,Raindrop
Nature_213583,213583,Walk and footsteps,Walk and footsteps
Nature_423493,423493,Water,Water
Nature_71190,71190,Wind,Wind
Nature_20433,20433,Water,Water
Nature_16748,16748,Raindrop,Raindrop
Nature_170899,170899,Stream,Stream
Nature_349440,349440,Water,Water
Nature_160910,160910,Thunder,Thunder
Nature_156340,156340,Crackle,Crackle
Nature_56286,56286,Raindrop,Raindrop
Nature_86769,86769,Rain,Rain
Nature_337485,337485,Gurgling,Gurgling
Nature_77722,77722,Fire,Fire
Nature_329909,329909,Bird,Bird
Nature_262754,262754,Ocean,Ocean
Nature_399218,399218,Crackle,Crackle
Nature_378636,378636,Fire,Fire
Nature_320300,320300,Waves and surf,Waves and surf
Nature_166817,166817,Water,Water
Nature_18047,18047,Thunder,Thunder
Nature_395222,395222,Stream,Stream
Nature_250646,250646,Raindrop,Raindrop
Nature_47988,47988,Fire,Fire
Nature_190661,190661,Drip,Drip
Nature_394406,394406,Fire,Fire
Nature_156327,156327,Crackle,Crackle
Nature_33943,33943,Fire,Fire
Nature_212787,212787,Water,Water
Nature_75642,75642,Wind,Wind
Nature_371915,371915,Sink (filling or washing),Sink (filling or washing)
Nature_152676,152676,Fire,Fire
Nature_194558,194558,Ocean,Ocean
Nature_279007,279007,Stream,Stream
Nature_182902,182902,Wind,Wind
Nature_424787,424787,Stream,Stream
Nature_182923,182923,Wind,Wind
Nature_248236,248236,Fire,Fire
Nature_110323,110323,Rain,Rain
Nature_189504,189504,Water,Water
Nature_78796,78796,Thunder,Thunder
Nature_216269,216269,Thunder,Thunder
Nature_186540,186540,Fire,Fire
Nature_218067,218067,Crackle,Crackle
Nature_20787,20787,Stream,Stream
Nature_134963,134963,Fire,Fire
Nature_433602,433602,Water,Water
Nature_94179,94179,Fire,Fire
Nature_207571,207571,Drip,Drip
Nature_182711,182711,Rain,Rain
Nature_404762,404762,Waves and surf,Waves and surf
Nature_201507,201507,Stream,Stream
Nature_353954,353954,Traffic noise and roadway noise,Traffic noise and roadway noise
Nature_320050,320050,Thunder,Thunder
Nature_337475,337475,Gurgling,Gurgling
Nature_233412,233412,Water,Water
Nature_137258,137258,Frying (food),Frying (food)
Nature_176724,176724,Fire,Fire
Nature_216392,216392,Stream,Stream
Nature_405135,405135,Chirp and tweet,Chirp and tweet
Nature_133846,133846,Wind,Wind
Nature_420314,420314,Wind,Wind
Nature_262582,262582,Fire,Fire
Nature_363868,363868,Rain,Rain
Nature_371839,371839,Fire,Fire
Nature_212826,212826,Stream,Stream
Nature_238059,238059,Fire,Fire
Nature_274308,274308,Fire,Fire
Nature_79866,79866,Rain,Rain
Nature_156308,156308,Crackle,Crackle
